Kempton Park Philatelic Society (Kemp kard)

First Day Fabrics (Silk)

South African Air Force (Aerobic)

SA Army

Namib Air/Air Namibia (Delivery flights)

United Nations

World Wildlife Fund

Namib Air/Air Namibia

First Day Fabrics (Gold)

Kempton Park Philatelic Society (Kemp Air)

The Railway Society

SA Police

Simonstown Navy Museum

Nam Post

SA Defence Force

SA Post Office

Ship Society of SA

South African Airways

SA Philatelic Foundation

Federation

South African Airways Museum

Private

SA Transport Services

Simonstown Historical Society

Warner Pharmaceuticals

SA Air Force Museum (Original Series)

Kempton Park Philatelic Society (Kemp Maksikard)

SA Railway Services

Kempton Park Philatelic Society (Kemp Kover)

SA Air Force Museum (World War Series)

SA Air Force Museum (Spesials)

Foreign Airline

SA Navy

Caprivi Airways

SA Air Force Museum (Anniversary Flights)

Flitestar

Airphilsa

